dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.186352,4.931379,1.216716,1.495515,-0.021645,-0.000005,0.009931
0.020000,3.216252,4.931671,1.246618,1.495082,-0.021645,-0.000005,0.009633
0.020000,3.246144,4.931954,1.276511,1.494649,-0.021645,-0.000004,0.009309
0.020000,3.276027,4.932227,1.306395,1.494217,-0.021645,-0.000002,0.008959
0.020000,3.305901,4.932490,1.336271,1.493784,-0.021645,-0.000000,0.008582
0.020000,3.335767,4.932740,1.366138,1.493351,-0.021645,0.000002,0.008179
0.020000,3.365624,4.932978,1.395996,1.492918,-0.021645,0.000005,0.007750
0.020000,3.395473,4.933202,1.425846,1.492485,-0.021645,0.000008,0.007294
0.020000,3.425314,4.933413,1.455687,1.492052,-0.021645,0.000012,0.006813
0.020000,3.455145,4.933609,1.485519,1.491619,-0.021644,0.000017,0.006305
0.020000,3.484969,4.933789,1.515343,1.491186,-0.021644,0.000022,0.005770
0.020000,3.514783,4.933952,1.545158,1.490753,-0.021643,0.000028,0.005210
0.020000,3.544589,4.934099,1.574964,1.490321,-0.021643,0.000035,0.004623
0.020000,3.574387,4.934228,1.604762,1.489888,-0.021642,0.000042,0.004011
0.020000,3.604176,4.934338,1.634551,1.489455,-0.021641,0.000051,0.003371
0.020000,3.633956,4.934428,1.664332,1.489022,-0.021640,0.000060,0.002706
0.020000,3.663728,4.934499,1.694103,1.488589,-0.021638,0.000070,0.002015
0.020000,3.693491,4.934548,1.723867,1.488157,-0.021637,0.000075,0.001297
0.020000,3.723245,4.934576,1.753621,1.487724,-0.021635,0.000096,0.000553
0.020000,3.752298,4.934599,1.782673,1.452618,-1.755296,-86.683042,0.004551
0.020000,3.789651,4.935186,1.820031,1.867906,20.764416,1125.985569,0.026851
0.020000,3.826917,4.936600,1.857325,1.864662,-0.162230,-1046.332280,0.048954
0.020000,3.864060,4.938827,1.894534,1.860448,-0.210697,-2.423350,0.070802
0.020000,3.901043,4.941851,1.931640,1.855328,-0.256002,-2.265269,0.092339
0.020000,3.937833,4.945652,1.968627,1.849318,-0.300510,-2.225388,0.113512
0.020000,3.974400,4.950207,2.005476,1.842484,-0.341667,-2.057823,0.134271
0.020000,4.010715,4.955490,2.042173,1.834861,-0.381164,-1.974856,0.154567
0.020000,4.046753,4.961472,2.078704,1.826523,-0.416894,-1.786533,0.174358
0.020000,4.082490,4.968123,2.115055,1.817536,-0.449332,-1.621863,0.193605
0.020000,4.117907,4.975413,2.151214,1.807960,-0.478841,-1.475469,0.212270
0.020000,4.152987,4.983307,2.187171,1.797868,-0.504589,-1.287392,0.230325
0.020000,4.187717,4.991772,2.222918,1.787329,-0.526929,-1.117016,0.247740
0.020000,4.222085,5.000774,2.258446,1.776411,-0.545937,-0.950393,0.264493
0.020000,4.256086,5.010278,2.293750,1.765175,-0.561766,-0.791452,0.280566
0.020000,4.289712,5.020250,2.328823,1.753682,-0.574648,-0.644114,0.295941
0.020000,4.322961,5.030657,2.363663,1.741988,-0.584707,-0.502918,0.310608
0.020000,4.355833,5.041464,2.398266,1.730143,-0.592246,-0.376961,0.324557
0.020000,4.388329,5.052639,2.432630,1.718193,-0.597529,-0.264174,0.337782
0.020000,4.420452,5.064150,2.466753,1.706176,-0.600827,-0.164880,0.350278
0.020000,4.452208,5.075966,2.500636,1.694127,-0.602448,-0.081055,0.362044
0.020000,4.483602,5.088056,2.534277,1.682076,-0.602561,-0.005647,0.373079
