dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.749294,5.594592,1.779653,1.320670,-9.580283,-480.095891,0.004551
0.020000,3.771931,5.594948,1.802294,1.132019,-9.432573,7.385506,0.026851
0.020000,3.794621,5.595809,1.825000,1.135286,0.163376,479.797440,0.048954
0.020000,3.817370,5.597173,1.847789,1.139487,0.210035,2.332979,0.070802
0.020000,3.840186,5.599040,1.870682,1.144615,0.256414,2.318912,0.092339
0.020000,3.863076,5.601405,1.893694,1.150620,0.300222,2.190435,0.113512
0.020000,3.886048,5.604267,1.916843,1.157466,0.342290,2.103403,0.134271
0.020000,3.909107,5.607621,1.940145,1.165084,0.380934,1.932205,0.154567
0.020000,3.932258,5.611465,1.963613,1.173424,0.416976,1.802066,0.174358
0.020000,3.955507,5.615793,1.987262,1.182419,0.449769,1.639655,0.193605
0.020000,3.978858,5.620599,2.011102,1.191996,0.478852,1.454156,0.212270
0.020000,4.002313,5.625878,2.035144,1.202090,0.504680,1.291385,0.230325
0.020000,4.025876,5.631621,2.059396,1.212631,0.527065,1.119274,0.247740
0.020000,4.049548,5.637822,2.083867,1.223553,0.546109,0.952208,0.264493
0.020000,4.073332,5.644471,2.108563,1.234792,0.561954,0.792247,0.280566
0.020000,4.097229,5.651559,2.133489,1.246288,0.574763,0.640435,0.295941
0.020000,4.121240,5.659074,2.158649,1.257984,0.584834,0.503566,0.310608
0.020000,4.145366,5.667007,2.184045,1.269832,0.592381,0.377341,0.324557
0.020000,4.169608,5.675344,2.209681,1.281785,0.597669,0.264384,0.337782
0.020000,4.193967,5.684073,2.235557,1.293805,0.600968,0.164977,0.350278
0.020000,4.218445,5.693181,2.261674,1.305855,0.602518,0.077493,0.362044
0.020000,4.243042,5.702654,2.288032,1.317908,0.602653,0.006741,0.373079
0.020000,4.267760,5.712479,2.314631,1.329940,0.601586,-0.053341,0.383386
0.020000,4.292601,5.722639,2.341470,1.341931,0.599543,-0.102167,0.392965
0.020000,4.317567,5.733120,2.368547,1.353866,0.596752,-0.139541,0.401822
0.020000,4.342662,5.743906,2.395862,1.365733,0.593369,-0.169151,0.409959
0.020000,4.367888,5.754982,2.423412,1.377527,0.589691,-0.183904,0.417381
0.020000,4.393249,5.766332,2.451197,1.389243,0.585822,-0.193427,0.424094
0.020000,4.418749,5.777940,2.479215,1.400881,0.581877,-0.197257,0.430101
0.020000,4.444393,5.789788,2.507463,1.412440,0.577964,-0.195668,0.435407
0.020000,4.470186,5.801861,2.535942,1.423926,0.574311,-0.182628,0.440018
0.020000,4.496134,5.814141,2.564649,1.435345,0.570944,-0.168341,0.443936
0.020000,4.522242,5.826612,2.593583,1.446703,0.567908,-0.151842,0.447166
0.020000,4.548519,5.839256,2.622743,1.458009,0.565285,-0.131128,0.449711
0.020000,4.574970,5.852056,2.652129,1.469274,0.563226,-0.102967,0.451573
0.020000,4.601603,5.864995,2.681739,1.480507,0.561642,-0.079166,0.452755
0.020000,4.628428,5.878054,2.711573,1.491719,0.560614,-0.051413,0.453257
0.020000,4.655452,5.891216,2.741632,1.502923,0.560193,-0.021058,0.453080
0.020000,4.682684,5.904461,2.771914,1.514129,0.560333,0.006980,0.452223
