dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.780791,5.265067,1.815000,1.500000,0.000000,0.000000,0.026851
0.020000,3.810769,5.266204,1.845000,1.500000,0.000000,0.000000,0.048954
0.020000,3.840715,5.268000,1.875000,1.500000,0.000000,0.000000,0.070802
0.020000,3.870614,5.270445,1.905000,1.500000,0.000000,0.000000,0.092339
0.020000,3.900455,5.273529,1.935000,1.500000,0.000000,0.000000,0.113512
0.020000,3.930224,5.277237,1.965000,1.500000,0.000000,0.000000,0.134271
0.020000,3.959911,5.281556,1.995000,1.500000,0.000000,0.000000,0.154567
0.020000,3.989506,5.286468,2.025000,1.500000,0.000000,0.000000,0.174358
0.020000,4.018999,5.291958,2.055000,1.500000,0.000000,0.000000,0.193605
0.020000,4.048382,5.298006,2.085000,1.500000,0.000000,0.000000,0.212270
0.020000,4.077650,5.304592,2.115000,1.500000,0.000000,0.000000,0.230325
0.020000,4.106796,5.311697,2.145000,1.500000,0.000000,0.000000,0.247740
0.020000,4.135817,5.319298,2.175000,1.500000,0.000000,0.000000,0.264493
0.020000,4.164709,5.327374,2.205000,1.500000,0.000000,0.000000,0.280566
0.020000,4.193470,5.335904,2.235000,1.500000,0.000000,0.000000,0.295941
0.020000,4.222100,5.344865,2.265000,1.500000,0.000000,0.000000,0.310608
0.020000,4.250599,5.354235,2.295000,1.500000,0.000000,0.000000,0.324557
0.020000,4.278968,5.363991,2.325000,1.500000,0.000000,0.000000,0.337782
0.020000,4.307210,5.374111,2.355000,1.500000,0.000000,0.000000,0.350278
0.020000,4.335326,5.384574,2.385000,1.500000,0.000000,0.000000,0.362044
0.020000,4.363322,5.395355,2.415000,1.500000,0.000000,0.000000,0.373079
0.020000,4.391200,5.406435,2.445000,1.500000,0.000000,0.000000,0.383386
0.020000,4.418968,5.417792,2.475000,1.500000,0.000000,0.000000,0.392965
0.020000,4.446629,5.429404,2.505000,1.500000,0.000000,0.000000,0.401822
0.020000,4.474191,5.441251,2.535000,1.500000,0.000000,0.000000,0.409959
0.020000,4.501660,5.453312,2.565000,1.500000,0.000000,0.000000,0.417381
0.020000,4.529042,5.465566,2.595000,1.500000,0.000000,0.000000,0.424094
0.020000,4.556347,5.477995,2.625000,1.500000,0.000000,0.000000,0.430101
0.020000,4.583580,5.490577,2.655000,1.500000,0.000000,0.000000,0.435407
0.020000,4.610751,5.503295,2.685000,1.500000,0.000000,0.000000,0.440018
0.020000,4.637868,5.516128,2.715000,1.500000,0.000000,0.000000,0.443936
0.020000,4.664938,5.529059,2.745000,1.500000,0.000000,0.000000,0.447166
0.020000,4.691971,5.542067,2.775000,1.500000,0.000000,0.000000,0.449711
0.020000,4.718976,5.555135,2.805000,1.500000,0.000000,0.000000,0.451573
0.020000,4.745960,5.568244,2.835000,1.500000,0.000000,0.000000,0.452755
0.020000,4.772933,5.581375,2.865000,1.500000,0.000000,0.000000,0.453257
0.020000,4.799905,5.594511,2.895000,1.500000,0.000000,0.000000,0.453080
0.020000,4.826883,5.607633,2.925000,1.500000,0.000000,0.000000,0.452223
0.020000,4.853876,5.620723,2.955000,1.500000,0.000000,0.000000,0.450687
0.020000,4.880894,5.633762,2.985000,1.500000,0.000000,0.000000,0.448469
0.020000,4.907946,5.646732,3.015000,1.500000,0.000000,0.000000,0.445567
0.020000,4.935039,5.659614,3.045000,1.500000,0.000000,0.000000,0.441978
0.020000,4.962183,5.672390,3.075000,1.500000,0.000000,0.000000,0.437699
0.020000,4.989386,5.685039,3.105000,1.500000,0.000000,0.000000,0.432726
0.020000,5.016655,5.697544,3.135000,1.500000,0.000000,0.000000,0.427054
0.020000,5.044000,5.709884,3.165000,1.500000,0.000000,0.000000,0.420680
0.020000,5.071426,5.722040,3.195000,1.500000,0.000000,0.000000,0.413598
0.020000,5.098943,5.733992,3.225000,1.500000,0.000000,0.000000,0.405803
0.020000,5.126556,5.745719,3.255000,1.500000,0.000000,0.000000,0.397291
0.020000,5.154272,5.757200,3.285000,1.500000,0.000000,0.000000,0.388058
0.020000,5.182096,5.768415,3.315000,1.500000,0.000000,0.000000,0.378099
0.020000,5.210035,5.779342,3.345000,1.500000,0.000000,0.000000,0.367413
0.020000,5.238094,5.789960,3.375000,1.500000,0.000000,0.000000,0.355996
0.020000,5.266275,5.800246,3.405000,1.500000,0.000000,0.000000,0.343849
0.020000,5.294582,5.810179,3.435000,1.500000,0.000000,0.000000,0.330973
0.020000,5.323019,5.819737,3.465000,1.500000,0.000000,0.000000,0.317370
0.020000,5.351586,5.828896,3.495000,1.500000,0.000000,0.000000,0.303045
0.020000,5.380285,5.837635,3.525000,1.500000,0.000000,0.000000,0.288007
0.020000,5.409115,5.845931,3.555000,1.500000,0.000000,0.000000,0.272266
0.020000,5.438074,5.853763,3.585000,1.500000,0.000000,0.000000,0.255836
0.020000,5.467161,5.861107,3.615000,1.500000,0.000000,0.000000,0.238735
0.020000,5.496371,5.867944,3.645000,1.500000,0.000000,0.000000,0.220983
0.020000,5.525700,5.874252,3.675000,1.500000,0.000000,0.000000,0.202606
0.020000,5.555141,5.880011,3.705000,1.500000,0.000000,0.000000,0.183634
0.020000,5.584688,5.885202,3.735000,1.500000,0.000000,0.000000,0.164098
0.020000,5.614332,5.889807,3.765000,1.500000,0.000000,0.000000,0.144038
0.020000,5.644064,5.893809,3.795000,1.500000,0.000000,0.000000,0.123495
0.020000,5.673872,5.897193,3.825000,1.500000,0.000000,0.000000,0.102514
0.020000,5.703745,5.899945,3.855000,1.500000,0.000000,0.000000,0.081144
0.020000,5.733670,5.902052,3.885000,1.500000,0.000000,0.000000,0.059438
0.020000,5.763634,5.903506,3.915000,1.500000,0.000000,0.000000,0.037451
0.020000,5.793623,5.904296,3.945000,1.500000,0.000000,0.000000,0.015238
0.020000,5.821702,5.904441,3.975000,1.500000,0.000000,0.000000,6.280301
0.020000,5.851701,5.904181,4.005000,1.500000,0.000000,0.000000,6.268618
0.020000,5.881695,5.903562,4.035000,1.500000,0.000000,0.000000,6.256357
